대분류,소분류,시설명,시설주소,자치구,lat,lon,dong,area
문화시설,공연장,롤링홀,"서울특별시 마포구 어울마당로 35, 지하1층 (서교동)",마포구,37.54849723,126.9201199,서교동,홍대
문화시설,공연장,홍대난타극장,"서울특별시 마포구 양화로16길 29, 지하 2,3층 (서교동, 홍익몰)",마포구,37.55325168,126.9211853,서교동,홍대
문화시설,공연장,웨스트브릿지 라이브홀,"서울특별시 마포구 와우산로25길 6, 지하3층 (서교동)",마포구,37.55362976,126.9261618,서교동,홍대
문화시설,공연장,임혁필 소극장,"서울특별시 마포구 포은로 14, 지하1층 (합정동)",마포구,37.54941799,126.9093679,합정동,홍대
문화시설,문화예술회관,아트홀 베짱이,"서울특별시 마포구 독막로15길 3-12, 지하1층 (상수동)",마포구,37.54847149,126.9215371,서강동,홍대
문화시설,기타,얼라이브홀,"서울특별시 마포구 독막로7길 20, 지하1층 (서교동)",마포구,37.54870459,126.9191638,서교동,홍대
문화시설,기타,벨로주,"서울특별시 마포구 잔다리로 46, 지하1층 (서교동, 서교동 스튜디오)",마포구,37.5524358,126.9188268,서교동,홍대
문화시설,기타,서교스퀘어,"서울특별시 마포구 양화로 72, 지하 1, 2층 (서교동)",마포구,37.55081439,126.9164933,서교동,홍대
문화시설,기타,스페이스 한강,"서울특별시 마포구 와우산로 128, 지하 1층 (창전동)",마포구,37.55331115,126.9276554,서강동,홍대
문화시설,공연장,프리즘홀,"서울특별시 마포구 양화로12길 6, 지하1층 (서교동)",마포구,37.55162442,126.9175434,서교동,홍대
문화시설,기타,라디오가가,"서울특별시 마포구 양화로11길 54, 지하1층 (서교동)",마포구,37.55230597,126.9138318,서교동,홍대
문화시설,기타,H 스테이지,"서울특별시 마포구 와우산로 97, H?PULSE 지하2층 (서교동)",마포구,37.55309518,126.9243563,서교동,홍대
문화시설,기타,홍대스테이지(ㅎㄷSTAGE),"서울특별시 마포구 어울마당로 68, 지하1층 (서교동)",마포구,37.55110499,126.9214912,서교동,홍대
문화시설,기타,인디팍(INDI PARK),"서울특별시 마포구 양화로 100-10 (서교동, 다내리빌딩)",마포구,37.55252218,126.9189568,서교동,홍대
문화시설,공연장,온맘씨어터,"서울특별시 마포구 어울마당로 94-8, B1층 (서교동)",마포구,37.55313675,126.9222337,서교동,홍대
문화시설,공연장,NOL씨어터 합정 ABL생명홀,"서울특별시 마포구 양화로 45, 2층 (서교동, 메세나폴리스)",마포구,37.55076106,126.9142006,서교동,홍대
문화시설,공연장,NOL씨어터 합정 동양생명홀,"서울특별시 마포구 양화로 45, 2층 (서교동, 메세나폴리스)",마포구,37.55076106,126.9142006,서교동,홍대
문화시설,공연장,서울숲씨어터1관,"서울특별시 성동구 서울숲2길 32-14, 지하2층 B208-1,4호 (성수동1가, 갤러리아 포레)",성동구,37.54564578,127.0430256,성수1가1동,성수
문화시설,공연장,서울숲씨어터2관,"서울특별시 성동구 서울숲2길 32-14, 지하2층 B202,B202-3호 (성수동1가, 갤러리아 포레)",성동구,37.54564578,127.0430256,성수1가1동,성수
